Feb14-04:16:04
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
9101 | 0.24s | train acc: 1.000e+00 | val acc: 8.056e-01 | val graph: 5.400e-01 | test node: 8.060e-01 | test graph: 5.440e-01
9201 | 0.24s | train acc: 1.000e+00 | val acc: 7.998e-01 | val graph: 5.360e-01 | test node: 8.009e-01 | test graph: 5.260e-01
9301 | 0.25s | train acc: 1.000e+00 | val acc: 8.068e-01 | val graph: 5.620e-01 | test node: 8.060e-01 | test graph: 5.570e-01
9401 | 0.25s | train acc: 1.000e+00 | val acc: 8.117e-01 | val graph: 5.500e-01 | test node: 8.105e-01 | test graph: 5.510e-01
9501 | 0.26s | train acc: 1.000e+00 | val acc: 8.272e-01 | val graph: 5.680e-01 | test node: 8.245e-01 | test graph: 5.730e-01
9601 | 0.26s | train acc: 1.000e+00 | val acc: 8.248e-01 | val graph: 5.620e-01 | test node: 8.200e-01 | test graph: 5.640e-01
9701 | 0.25s | train acc: 1.000e+00 | val acc: 8.227e-01 | val graph: 5.640e-01 | test node: 8.190e-01 | test graph: 5.650e-01
9801 | 0.25s | train acc: 1.000e+00 | val acc: 8.133e-01 | val graph: 5.480e-01 | test node: 8.113e-01 | test graph: 5.520e-01
9901 | 0.24s | train acc: 1.000e+00 | val acc: 8.158e-01 | val graph: 5.460e-01 | test node: 8.192e-01 | test graph: 5.570e-01
10001 | 0.25s | train acc: 1.000e+00 | val acc: 8.166e-01 | val graph: 5.460e-01 | test node: 8.152e-01 | test graph: 5.560e-01
10101 | 0.25s | train acc: 1.000e+00 | val acc: 8.047e-01 | val graph: 5.440e-01 | test node: 8.024e-01 | test graph: 5.510e-01
10201 | 0.25s | train acc: 1.000e+00 | val acc: 8.162e-01 | val graph: 5.540e-01 | test node: 8.088e-01 | test graph: 5.600e-01
10301 | 0.26s | train acc: 1.000e+00 | val acc: 8.215e-01 | val graph: 5.540e-01 | test node: 8.156e-01 | test graph: 5.550e-01
10401 | 0.25s | train acc: 1.000e+00 | val acc: 8.194e-01 | val graph: 5.460e-01 | test node: 8.109e-01 | test graph: 5.420e-01
10501 | 0.25s | train acc: 1.000e+00 | val acc: 8.211e-01 | val graph: 5.560e-01 | test node: 8.185e-01 | test graph: 5.620e-01
10601 | 0.25s | train acc: 1.000e+00 | val acc: 8.141e-01 | val graph: 5.360e-01 | test node: 8.160e-01 | test graph: 5.530e-01
10701 | 0.26s | train acc: 1.000e+00 | val acc: 7.565e-01 | val graph: 4.960e-01 | test node: 7.689e-01 | test graph: 4.990e-01
10801 | 0.24s | train acc: 1.000e+00 | val acc: 7.937e-01 | val graph: 5.320e-01 | test node: 7.893e-01 | test graph: 5.210e-01
10901 | 0.26s | train acc: 1.000e+00 | val acc: 8.039e-01 | val graph: 5.380e-01 | test node: 8.020e-01 | test graph: 5.340e-01
11001 | 0.24s | train acc: 1.000e+00 | val acc: 8.150e-01 | val graph: 5.460e-01 | test node: 8.103e-01 | test graph: 5.510e-01
11101 | 0.25s | train acc: 1.000e+00 | val acc: 8.154e-01 | val graph: 5.520e-01 | test node: 8.098e-01 | test graph: 5.430e-01
11201 | 0.24s | train acc: 1.000e+00 | val acc: 8.174e-01 | val graph: 5.460e-01 | test node: 8.128e-01 | test graph: 5.490e-01
11301 | 0.25s | train acc: 1.000e+00 | val acc: 8.056e-01 | val graph: 5.540e-01 | test node: 8.094e-01 | test graph: 5.440e-01
11401 | 0.25s | train acc: 1.000e+00 | val acc: 8.100e-01 | val graph: 5.580e-01 | test node: 8.113e-01 | test graph: 5.460e-01
11501 | 0.27s | train acc: 1.000e+00 | val acc: 8.133e-01 | val graph: 5.560e-01 | test node: 8.115e-01 | test graph: 5.520e-01
11601 | 0.25s | train acc: 1.000e+00 | val acc: 8.166e-01 | val graph: 5.580e-01 | test node: 8.188e-01 | test graph: 5.600e-01
11701 | 0.25s | train acc: 1.000e+00 | val acc: 8.121e-01 | val graph: 5.460e-01 | test node: 8.115e-01 | test graph: 5.460e-01
11801 | 0.25s | train acc: 1.000e+00 | val acc: 8.113e-01 | val graph: 5.380e-01 | test node: 8.147e-01 | test graph: 5.470e-01
11901 | 0.25s | train acc: 1.000e+00 | val acc: 8.203e-01 | val graph: 5.600e-01 | test node: 8.200e-01 | test graph: 5.770e-01
